year,PM25_Emissions,Region,sector,subsector,activity,capacity,longitude,latitude
2025,15.88843706,Ocv Reinforcements Alcala Spain S.L.,manufacturing,glass,50840758.81,50840758.81,-3.35151,40.51014
2025,15.88843706,Vidrieras Canarias S.A.,manufacturing,glass,50840758.81,50840758.81,-15.384378,27.980152
2025,15.88843706,Ferro Spain-Almassora,manufacturing,glass,50840758.81,50840758.81,-0.076592,39.956492
2025,15.88843706,Vidres,manufacturing,glass,50840758.81,50840758.81,-0.143615,39.945733
2025,15.88843706,Esmaltes,manufacturing,glass,50840758.81,50840758.81,-0.19348,40.062664
2025,15.88843706,Vidrieria Rovira,manufacturing,glass,50840758.81,50840758.81,2.125607,41.327397
2025,15.88843706,Castellar Vidrio,manufacturing,glass,50840758.81,50840758.81,2.093161,41.592341
2025,15.88843706,Torrecid I Y Ii,manufacturing,glass,50840758.81,50840758.81,-0.189229,40.061138
2025,15.88843706,Fritta Slu,manufacturing,glass,50840758.81,50840758.81,-0.20156,39.95459
2025,15.88843706,Schott Iberica,manufacturing,glass,50840758.81,50840758.81,2.227346,41.430468
2025,15.88843706,"Vidriería Y Cristalería De Lamiaco, S.A. (Vidriería Y Cristalería De Lamiaco S.A.)",manufacturing,glass,50840758.81,50840758.81,-3.00588,43.32083
2025,15.88843706,Smalticeram España,manufacturing,glass,50840758.81,50840758.81,-0.234151,39.960199
2025,15.88843706,"Ba Glass Spain, S.L.",manufacturing,glass,50840758.81,50840758.81,-5.581055,42.550109
2025,15.88843706,"Saint-Gobain Isover Ibérica, S.L.",manufacturing,glass,50840758.81,50840758.81,-3.2563,40.5646
2025,15.88843706,Endeka Ceramics-Vall D´Alba,manufacturing,glass,50840758.81,50840758.81,-0.006249,40.161737
2025,15.88843706,"Vidrios Reciclados San Miguel, S.L.",manufacturing,glass,50840758.81,50840758.81,-0.582855,38.887358
2025,15.88843706,Saint-Gobain Cristaleria,manufacturing,glass,50840758.81,50840758.81,1.588972,41.26198
2025,15.88843706,Verallia - Zgz (Anterior S.Gobain Vicasa),manufacturing,glass,50840758.81,50840758.81,-0.943928,41.59879
2025,15.88843706,"Fábrica De Alcalá De Guadaira (Vidriera Rovira, S.L.)",manufacturing,glass,50840758.81,50840758.81,-5.833487,37.333934
2025,15.88843706,Esmalglass,manufacturing,glass,50840758.81,50840758.81,-0.157894,39.946256
2025,15.88843706,Esmaldur,manufacturing,glass,50840758.81,50840758.81,-0.152434,40.035189
2025,15.88843706,Ramon Clemente,manufacturing,glass,50840758.81,50840758.81,2.327623,41.483939
2025,15.88843706,Cerfrit,manufacturing,glass,50840758.81,50840758.81,-0.170485,39.831481
2025,14.2792017,Celsa Global Steel Wire Santander plant,manufacturing,iron-and-steel,438084.4076,750000.0,-3.8413172497133,43.4449201235133
2025,14.08881235,Sidenor Aceros Especiales Basauri steel plant,manufacturing,iron-and-steel,432243.2822,740000.0,-2.88294175802448,43.2263099396927
2025,11.42336136,Grupo Gallardo Corrugados Getafe steel plant,manufacturing,iron-and-steel,350467.5261,600000.0,-3.70579830284928,40.3106603989214
2025,9.661707412,Sagunto Catalina Project,manufacturing,chemicals,175000.0,200000.0,-0.224196877555634,39.6476923210642
2025,9.661707412,Puertollano Fertilizers,manufacturing,chemicals,175000.0,200000.0,-4.0584502,38.66396
2025,7.149191381,"Repsol SA , Puertollano ",manufacturing,petrochemical-steam-cracking,71491.91381,101580.8219,-4.054309,38.6705
2025,5.908959659,Spain,manufacturing,chemicals,498622.0184,640704.0,-3.6170206023873743,40.348656106226734
2025,5.059294879,Creaciones Euromoda S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6161235,38.7563069
2025,5.059294879,Calzados Cienta Slu,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-2.088897,42.2353611
2025,5.059294879,Crechi International S.A.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.5346586,39.56661769999999
2025,5.059294879,Fello S.A.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,1.8641519,41.6291032
2025,5.059294879,Jaume Estevez I Serra,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.7156021,41.7092908
2025,5.059294879,Iruna Comunicación Textil - Serisur,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-3.7868307,37.1930851
2025,5.059294879,Textprint,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.3343833,41.5911628
2025,5.059294879,Star Vie S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-3.2601311,40.5587223
2025,5.059294879,Aprestos De Laneria Spa,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.1082727,41.5677592
2025,5.059294879,Laken Productos Deportivos S.A.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-1.1849603,37.9514997
2025,5.059294879,Diego Torvisco,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.4554698,41.5600797
2025,5.059294879,"Maria Gili Margenats, S.L",manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.6677949,41.6272797
2025,5.059294879,Julio Maestre,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-5.1507667,40.9839999
2025,5.059294879,Genuins,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.6131261,38.2991244
2025,5.059294879,Hilaturas Miel S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,-0.4350982,38.4260809
2025,5.059294879,Varisport S.L.,manufacturing,textiles-leather-apparel,556774189.4,556774189.4,2.0943142,41.5596943
